x,y,z
388.01760533189764,236.95891155305102,a
490.8222164121274,273.52195784329064,a
470.4004376742035,262.4639507399064,a
578.0331245486913,305.32039524082745,a
536.8244316495835,341.6100159794337,a
609.3921465850623,334.8052786983139,a
580.0775832647838,409.81409373570966,a
582.6003629397858,378.3736072081621,a
534.2605819699273,418.00332697194875,a
563.776526648055,301.99182188774495,a
529.3987515815555,357.572697377244,a
495.88714685502487,316.53883985025163,a
452.3986649255854,310.65037741225336,a
388.55526501048416,280.1942717154792,a
407.0190427537435,276.44444070914085,a
345.63700882127296,299.6104442342163,a
347.09996674359536,274.6280798441882,a
305.8380925884233,182.5222624938516,a
319.99734876723886,220.97199902905902,a
229.94959204632733,180.6071700161384,a
259.01947996197083,181.01740501247943,a
263.0236139726403,206.8896634430594,a
253.0717613440688,229.82832429140262,a
267.9824905207206,252.98453834751584,a
310.5114959451932,175.8152555516887,a
326.34729679565623,253.6650245544693,a
287.44866330786783,223.1346363293201,a
386.08438058964117,283.3770773920192,a
394.450888114945,275.3806104380871,a
478.4496236231842,316.5203216703642,a
445.66571767220057,345.81460854487983,a
472.0945552779193,362.06223459121736,a
503.9624172860428,366.1779119311029,a
492.7164747707458,384.9009652988765,a
519.9009215791738,405.2290594145272,a
579.3124768222167,412.515066633603,a
583.5305894539334,405.03501259535363,a
490.6981824205851,445.0176787352105,a
582.6336921782274,422.99750794715834,a
524.4075238410679,411.08633430884913,a
560.2117347295443,385.9900944005973,a
248.24192771916333,443.2092154977567,b
208.84041483048145,451.6014946514292,b
182.26668346598944,440.53497975277855,b
148.79702372336791,463.8693081675699,b
135.69530831157437,405.82974802196367,b
122.08445451063473,393.3335636527702,b
57.68914859452617,360.5919077088469,b
123.66949354721577,364.49135367271174,b
73.86496666261691,321.2437087990645,b
109.40161240036926,327.16714779763544,b
145.22209466412417,330.7794974412757,b
129.60216279318112,344.89997096221487,b
238.77738399497682,341.6866182138818,b
207.46574429816607,405.1219279569877,b
252.16163424936275,395.8069999581934,b
285.069544695938,418.9032322657457,b
302.8352053934765,451.874677980486,b
338.74800544904264,450.0077116474842,b
288.61362283976814,463.5219675166873,b
272.5496008309851,479.53474803538666,b
242.323490572298,464.00451107300864,b
176.13020810311835,409.2697600968306,b
143.1672141158046,356.0275837856169,b
103.4433401713062,376.3871001125162,b
98.14093402556965,344.8235295585846,b
96.48987993806284,332.7928153494962,b
174.65724361794938,329.8792750796231,b
150.8712706053636,338.0680512620204,b
205.45606941662075,370.918620513202,b
205.3028128592593,316.8267329986941,b
226.8407538068523,391.2992287418941,b
252.0482478241651,406.6735966248578,b
283.9043194176225,407.51175320079835,b
267.4116702835077,403.2006948240146,b
209.2429620157156,441.2100281277519,b
182.0128783937789,411.53402089407575,b
182.43513199683304,356.0882729327111,b
116.41751576062548,304.0058851290129,b
91.94971853803708,315.67003603820496,b
142.16725992732484,293.84373151918436,b
72.53614898865159,312.0128108272065,b
79.96399996859355,290.3047312998777,b
36.169459269425715,265.1971301556771,b
50.68815477295189,356.42715102996175,b
21.996716917592515,278.6051309174801,b
36.276933789493114,344.31704639120346,b
110.64260617361687,358.37094405155835,b
142.57287971391568,411.77492548996366,b
130.994275093255,436.83830231281127,b
159.86354084418983,404.611139847763,b
146.83112320656124,441.31490891912995,b
142.29000718424396,458.72998112946124,b
191.88944023571202,468.8378323305858,b
604.4755018453624,197.890009976734,b
604.2264127240641,196.776484088031,b
608.8052851791083,198.3275393375663,b
530.5923350688483,158.95385559467462,b
485.568879464012,176.23688572637292,b
462.17785038692256,101.24431824377537,b
453.97595618617953,160.78494512706175,b
420.1996989005799,124.51651547828004,b
428.1941037948512,65.11430856708131,b
449.8901080378957,34.76055771853231,b
490.3813055234532,72.10805982446027,b
493.6517901879943,34.06258926464443,b
528.4328631204928,87.2802899028352,b
558.482821526726,78.3807893213584,b
616.4469766718101,81.58649184320915,b
599.5770934639869,107.3111240522798,b
648.7246580933917,126.07881763499071,b
670.6020358163638,193.8525577693332,b
684.9753454650395,216.6517570132547,b
610.0879413020383,201.52046996563226,b
595.5195399159003,184.33631187793395,b
594.6732687822006,208.92184302304338,b
479.4254573179354,161.43714847374758,b
479.10647757265747,176.26355071906133,b
390.4989317200072,153.49358694830758,b
387.49878990294854,140.46825004427168,b
355.2809130058226,123.35406011289551,b
378.06309952781464,27.72224858094012,b
418.45400762871736,-15.780795273913894,b
492.1966122610301,25.628249444146718,b
513.1127181097976,30.823249862694865,b
497.9658368552377,48.54919607607178,b
565.9699908264611,123.99215555575728,b
529.220391297234,135.4569269585885,b
605.897411752554,166.0225261537762,b
565.4513883117007,164.83428874292116,b
608.0774847607303,157.25813476767877,b
455.7308780524886,110.45398709964928,b
523.8480751559221,128.27482930119862,b
441.8039439883378,86.34104860861082,b
437.4950050328137,94.50733856070968,b
443.4173255372268,31.15895988297695,b
499.9104183937196,86.83225132548279,b
511.6190017288761,90.78944273116348,b
558.080591654156,131.64112430376355,b
585.983342076193,118.69956375966746,b
597.7788322439483,98.36838388059687,b
583.0226383237682,93.27779694913558,b
600.1439878641712,80.49153404236671,b
568.9996848051495,83.04455798578289,b
618.746701026483,76.64459621482314,b
623.8274394650012,33.22423391702955,b
642.2728970003902,94.93177143694678,b
